"count","holiday","humidity","registered","summer","temp","windspeed","workingday"
2,0,81,2,0,10.66,22.0028,1
157,0,54,150,1,18.04,16.9979,1
233,0,40,199,1,37.72,15.0013,1
98,0,88,86,1,22.14,19.0012,1
6,0,74,6,0,6.56,6.0032,1
176,0,32,172,0,9.02,39.0007,1
64,0,37,61,0,9.02,27.9993,1
239,0,48,149,1,28.7,6.0032,0
4,0,54,3,1,18.04,12.998,1
67,0,35,55,0,10.66,7.0015,1
27,0,77,22,1,21.32,11.0014,1
5,0,73,2,1,24.6,6.0032,1
45,0,17,36,0,15.58,39.0007,0
163,0,51,158,0,9.02,8.9981,1
28,0,78,28,1,27.06,11.0014,1
22,0,39,17,0,12.3,23.9994,0
226,0,78,181,1,24.6,16.9979,1
331,0,19,163,0,35.26,11.0014,0
119,0,49,115,0,12.3,8.9981,1
248,0,26,190,1,27.88,16.9979,1
153,0,54,114,1,29.52,22.0028,1
74,0,73,73,0,3.28,0,1
366,0,49,240,1,24.6,0,0
1,0,65,1,0,10.66,6.0032,1
98,0,73,74,1,24.6,16.9979,0
7,0,67,6,0,18.86,7.0015,1
151,0,94,138,1,21.32,16.9979,1
170,0,66,155,1,16.4,8.9981,1
453,0,83,398,1,23.78,12.998,1
3,0,38,2,0,3.28,19.0012,1
183,0,64,139,1,23.78,16.9979,1
241,0,70,211,0,31.16,19.9995,1
109,0,47,108,0,8.2,6.0032,1
30,0,46,30,0,5.74,22.0028,1
90,0,15,76,0,24.6,32.9975,1
191,0,62,174,1,16.4,22.0028,1
71,0,76,61,0,13.94,19.9995,1
241,0,46,205,1,13.94,22.0028,1
158,0,58,122,1,28.7,35.0008,1
152,0,39,127,1,36.9,19.9995,1
78,0,61,55,0,28.7,11.0014,0
150,0,55,121,1,21.32,7.0015,1
6,0,50,6,0,4.92,15.0013,1
2,0,73,1,1,24.6,6.0032,1
194,0,58,144,1,28.7,40.9973,1
132,0,38,127,0,9.84,7.0015,1
3,0,65,3,0,10.66,8.9981,1
3,0,50,3,0,5.74,19.9995,1
3,0,53,3,0,13.12,19.0012,1
193,0,50,157,1,25.42,0,1
361,0,39,219,0,34.44,19.0012,0
82,0,43,62,0,16.4,12.998,1
18,0,40,18,0,8.2,7.0015,0
638,0,28,555,1,30.34,7.0015,1
604,0,65,521,1,25.42,27.9993,1
221,0,87,208,1,13.94,11.0014,1
147,0,43,92,0,16.4,23.9994,0
223,0,74,156,1,28.7,7.0015,0
374,0,30,232,0,33.62,8.9981,0
95,0,93,94,0,6.56,7.0015,1
4,0,73,3,1,22.14,22.0028,1
5,0,87,4,1,14.76,15.0013,0
88,0,46,74,0,15.58,19.9995,1
10,0,71,6,1,13.94,12.998,1
106,0,77,82,1,17.22,16.9979,1
238,0,68,153,1,20.5,7.0015,0
177,0,72,109,1,18.86,8.9981,1
8,0,71,8,0,16.4,15.0013,0
334,0,46,196,1,32.8,19.0012,0
10,0,65,8,0,27.88,11.0014,1
253,0,93,227,0,13.12,0,1
56,0,70,52,1,9.84,7.0015,1
183,0,66,125,1,29.52,7.0015,0
26,0,53,21,0,26.24,0,0
102,1,76,77,1,16.4,19.9995,0
144,0,40,141,0,8.2,22.0028,1
16,0,73,10,1,26.24,15.0013,1
9,0,94,2,1,18.86,19.0012,1
15,0,69,6,0,9.02,0,0
64,0,41,59,0,9.02,19.0012,1
96,0,23,75,0,21.32,19.9995,1
174,0,46,126,0,13.94,0,0
50,0,25,50,0,8.2,16.9979,1
250,0,83,225,1,24.6,0,1
14,0,50,14,0,4.92,12.998,1
450,0,77,415,1,17.22,16.9979,1
261,0,65,232,1,25.42,12.998,1
64,0,55,56,1,21.32,0,0
95,0,32,83,0,8.2,32.9975,0
107,0,53,90,1,25.42,0,1
8,0,64,6,0,6.56,7.0015,1
25,0,66,13,1,16.4,8.9981,0
86,1,74,44,0,28.7,7.0015,0
54,0,55,53,0,7.38,7.0015,1
175,0,50,144,1,25.42,7.0015,1
9,0,71,6,1,14.76,7.0015,1
2,0,45,2,0,2.46,8.9981,1
230,0,40,194,1,23.78,11.0014,1
174,0,28,165,0,11.48,0,1
3,0,93,3,0,5.74,0,1
4,0,32,4,0,9.02,31.0009,1
154,0,57,113,1,14.76,11.0014,0
101,0,38,80,0,11.48,19.9995,0
375,1,49,205,0,31.98,11.0014,0
8,0,94,4,1,22.96,7.0015,1
4,0,94,2,0,26.24,7.0015,1
99,0,67,89,1,17.22,12.998,1
118,0,50,63,0,25.42,11.0014,1
23,0,82,15,1,16.4,7.0015,0
6,0,53,4,0,13.94,15.0013,1
64,1,55,55,0,6.56,12.998,0
91,0,50,66,1,26.24,19.0012,1
7,0,82,7,1,18.86,6.0032,1
23,0,43,23,0,7.38,6.0032,1
25,0,65,23,0,9.84,15.0013,1
56,0,67,37,1,18.04,11.0014,0
78,0,57,60,0,13.12,19.9995,1
134,0,73,97,1,24.6,22.0028,1
10,0,63,9,0,5.74,0,0
130,0,83,95,1,22.14,0,1
260,0,35,202,0,30.34,11.0014,1
223,0,49,200,0,13.94,15.0013,1
106,0,40,75,0,14.76,19.9995,1
11,0,61,8,1,12.3,0,0
26,0,46,25,0,13.94,19.9995,1
78,0,58,75,0,17.22,19.0012,1
210,0,69,131,1,25.42,30.0026,1
191,0,36,118,0,27.06,19.9995,1
61,0,47,47,0,7.38,8.9981,0
81,0,59,72,1,21.32,8.9981,1
23,0,100,23,0,13.12,23.9994,0
195,0,45,173,1,20.5,31.0009,1
12,0,88,9,1,22.14,16.9979,1
15,0,49,15,1,12.3,7.0015,1
4,0,65,4,0,9.84,26.0027,1
386,0,50,335,1,26.24,23.9994,1
169,0,41,139,1,26.24,23.9994,1
23,0,78,20,1,27.06,0,1
244,0,61,158,1,28.7,7.0015,0
244,0,49,153,1,23.78,8.9981,0
5,0,70,5,1,9.84,11.0014,0
122,0,83,92,1,22.96,22.0028,1
349,0,69,298,1,24.6,16.9979,1
3,0,47,3,0,9.02,11.0014,1
3,0,93,3,1,9.84,16.9979,1
47,0,37,43,0,9.02,26.0027,1
411,0,60,372,1,22.96,7.0015,1
225,0,26,197,1,29.52,23.9994,1
9,0,44,9,0,8.2,6.0032,1
83,0,42,70,1,20.5,12.998,0
160,0,76,152,1,13.94,11.0014,1
112,0,35,89,1,25.42,15.0013,1
88,0,71,65,0,16.4,7.0015,1
69,0,58,50,0,28.7,12.998,0
134,0,76,123,0,13.94,22.0028,1
170,0,33,109,0,31.16,11.0014,1
309,0,56,278,1,33.62,26.0027,1
4,0,94,3,1,18.86,19.0012,1
95,0,53,80,1,13.94,23.9994,1
188,0,58,162,1,28.7,11.0014,1
52,0,100,42,0,9.02,11.0014,0
78,0,57,51,0,13.94,15.0013,1
188,0,21,144,1,32.8,26.0027,1
36,0,74,36,0,4.92,7.0015,1
72,0,54,72,0,4.92,8.9981,1
89,0,51,68,1,20.5,12.998,1
47,1,47,39,0,6.56,15.0013,0
72,0,25,65,0,9.02,8.9981,1
4,0,69,2,1,25.42,8.9981,1
291,0,60,241,1,22.14,8.9981,1
3,0,93,3,0,9.02,0,1
2,0,53,1,1,23.78,22.0028,1
128,0,89,121,1,27.88,6.0032,1
3,0,93,3,0,9.02,7.0015,1
64,0,50,63,0,5.74,12.998,1
3,0,94,1,0,18.86,12.998,0
179,0,51,124,0,30.34,6.0032,0
70,0,36,54,0,13.12,26.0027,1
22,0,93,22,0,5.74,0,1
22,0,17,16,0,15.58,35.0008,0
180,1,52,133,1,22.14,16.9979,0
363,0,58,239,1,28.7,7.0015,0
15,0,87,13,1,13.94,15.0013,1
31,0,87,26,1,12.3,15.0013,0
32,0,89,30,0,26.24,7.0015,1
167,0,67,121,0,18.04,16.9979,0
241,0,41,143,0,18.04,23.9994,0
3,0,0,2,0,14.76,12.998,1
158,0,68,156,0,4.92,0,1
223,0,83,192,1,22.96,8.9981,1
1,1,43,1,0,7.38,11.0014,0
44,0,65,40,0,10.66,27.9993,0
1,0,54,1,0,4.1,7.0015,1
114,0,28,84,0,12.3,22.0028,0
18,0,77,9,1,17.22,6.0032,0
1,0,52,0,0,9.84,8.9981,1
374,0,49,232,1,33.62,7.0015,0
142,0,50,74,1,14.76,32.9975,0
137,0,67,112,0,17.22,15.0013,1
16,1,44,15,0,8.2,12.998,0
68,0,38,59,0,9.84,11.0014,1
117,0,55,73,0,32.8,23.9994,1
3,0,54,3,0,4.1,6.0032,1
2,0,60,2,0,10.66,23.9994,0
73,0,66,54,0,30.34,11.0014,1
3,0,54,2,0,4.1,8.9981,1
79,0,19,69,0,13.94,15.0013,1
209,0,82,193,1,18.86,22.0028,1
264,0,66,133,0,30.34,11.0014,0
104,0,78,94,1,27.06,6.0032,1
64,0,43,55,0,7.38,30.0026,1
1,0,0,1,0,13.94,16.9979,1
292,0,24,209,0,32.8,0,1
119,0,75,109,0,9.84,11.0014,1
343,0,52,280,1,21.32,19.0012,1
146,0,56,108,0,35.26,27.9993,1
47,0,49,43,0,13.12,7.0015,1
122,1,55,91,1,20.5,12.998,0
71,0,30,65,0,11.48,19.9995,1
267,0,40,248,1,15.58,32.9975,1
3,0,94,2,1,16.4,22.0028,1
30,0,86,28,0,5.74,8.9981,0
539,0,43,475,1,32.8,16.9979,1
40,0,59,32,1,19.68,0,0
52,0,47,49,0,8.2,7.0015,1
62,0,37,59,0,7.38,26.0027,0
6,0,50,5,1,16.4,15.0013,1
357,0,36,213,0,32.8,6.0032,0
308,0,38,253,1,32.8,15.0013,1
145,0,54,91,0,17.22,11.0014,0
274,0,50,234,1,25.42,19.9995,1
79,0,71,64,0,14.76,19.9995,1
102,0,43,71,1,16.4,19.0012,0
63,0,56,55,0,10.66,0,1
175,0,88,127,1,25.42,8.9981,1
365,0,57,323,1,27.88,23.9994,1
48,0,47,37,0,17.22,32.9975,0
70,0,40,69,0,8.2,6.0032,1
72,0,20,56,0,15.58,0,1
30,0,32,30,0,8.2,22.0028,1
17,0,75,12,0,9.84,11.0014,0
30,0,42,29,0,13.12,30.0026,0
105,0,94,83,0,18.86,23.9994,0
181,0,74,99,0,28.7,16.9979,0
243,0,41,104,1,17.22,16.9979,0
62,0,88,59,1,18.04,7.0015,1
263,1,67,216,1,18.86,26.0027,0
11,0,88,9,1,20.5,7.0015,0
34,0,0,30,0,13.94,8.9981,1
363,0,43,222,0,33.62,19.0012,0
131,0,78,103,1,27.06,6.0032,0
16,1,89,11,0,26.24,11.0014,0
451,0,33,258,1,30.34,15.0013,0
285,0,56,239,1,33.62,19.9995,1
52,0,75,45,0,9.84,0,1
112,0,67,103,1,17.22,8.9981,1
83,0,93,81,0,11.48,30.0026,0
148,0,56,141,0,11.48,19.9995,1
364,0,64,305,1,24.6,12.998,1
454,0,83,426,1,24.6,0,1
28,0,36,28,0,4.92,16.9979,0
7,0,69,5,0,8.2,15.0013,1
47,0,100,46,0,9.02,8.9981,0
14,0,100,11,1,12.3,16.9979,0
95,0,93,91,1,9.84,0,1
11,0,100,11,0,12.3,32.9975,0
86,0,63,58,1,21.32,8.9981,0
83,0,49,68,0,12.3,16.9979,1
218,0,69,174,1,25.42,8.9981,1
416,0,38,245,0,33.62,0,0
162,0,30,122,0,16.4,19.9995,0
40,0,61,31,1,28.7,8.9981,0
198,0,83,167,1,23.78,0,1
52,0,44,49,0,8.2,27.9993,1
73,0,37,64,0,8.2,19.0012,1
111,0,42,85,0,21.32,6.0032,1
361,0,28,305,1,22.14,15.0013,1
2,0,53,2,0,13.12,19.0012,1
171,0,52,142,1,31.16,0,1
98,0,62,79,1,16.4,26.0027,1
7,0,60,6,1,24.6,32.9975,1
212,0,81,118,1,14.76,8.9981,0
227,0,58,177,0,30.34,8.9981,1
96,0,42,68,0,12.3,27.9993,1
184,0,49,124,1,22.96,6.0032,1
207,0,49,185,1,24.6,0,1
4,0,44,4,1,27.06,7.0015,1
222,0,81,108,1,14.76,0,0
39,0,70,37,0,10.66,12.998,0
64,0,34,57,0,13.94,0,1
83,0,37,79,0,7.38,30.0026,0
146,0,35,117,0,22.96,19.9995,1
15,0,59,12,1,18.86,6.0032,1
377,0,58,236,1,29.52,6.0032,0
61,0,82,57,1,17.22,12.998,1
72,0,37,63,0,8.2,11.0014,1
61,0,80,56,0,7.38,11.0014,0
373,0,59,264,1,31.98,19.0012,0
3,0,15,3,0,16.4,22.0028,0
218,0,49,164,1,22.14,19.0012,0
124,0,31,105,0,24.6,12.998,1
31,0,50,31,0,4.92,19.0012,1
250,0,83,220,0,27.06,11.0014,1
186,0,78,157,1,24.6,23.9994,1
83,0,86,83,0,5.74,11.0014,1
104,0,73,59,1,24.6,19.9995,1
76,0,29,68,0,7.38,30.0026,0
15,0,94,12,1,20.5,0,1
139,0,52,84,0,31.16,7.0015,1
184,0,81,100,1,13.12,8.9981,0
171,0,46,141,1,23.78,7.0015,1
28,0,78,20,1,26.24,8.9981,1
96,0,69,68,0,27.88,6.0032,0
313,0,38,147,1,18.04,19.0012,0
1,0,54,1,0,4.1,8.9981,1
1,0,86,1,0,5.74,8.9981,1
74,0,39,60,0,13.12,16.9979,0
152,0,66,114,0,30.34,6.0032,1
133,0,47,127,0,6.56,19.9995,1
230,0,55,224,0,9.02,11.0014,1
6,0,17,3,0,16.4,27.9993,0
14,0,53,7,0,13.12,0,1
169,0,28,142,1,22.14,27.9993,1
84,0,77,55,0,17.22,19.0012,0
185,0,59,126,0,20.5,12.998,1
269,0,61,220,1,27.06,15.0013,1
256,0,79,233,1,30.34,16.9979,1
47,0,56,38,1,24.6,7.0015,1
14,0,62,9,0,16.4,12.998,1
44,0,43,33,0,7.38,16.9979,1
32,0,93,32,0,9.02,6.0032,1
256,0,40,249,0,15.58,31.0009,1
378,0,38,230,1,24.6,16.9979,0
70,0,36,59,0,11.48,11.0014,1
122,0,31,96,0,13.94,23.9994,1
150,0,87,81,1,16.4,0,0
47,0,93,47,0,6.56,0,1
224,0,33,195,0,26.24,22.0028,1
29,0,100,27,1,16.4,19.9995,0
292,0,52,253,1,22.14,23.9994,1
71,0,78,36,1,27.06,11.0014,0
40,0,44,35,0,9.02,16.9979,1
146,0,43,112,1,32.8,19.0012,1
295,0,94,188,1,22.14,12.998,0
87,0,46,61,1,14.76,23.9994,1
82,0,0,80,0,18.04,23.9994,1
141,0,36,97,1,21.32,12.998,0
5,0,77,5,1,18.04,0,0
6,0,39,6,1,28.7,0,1
39,0,64,34,0,8.2,7.0015,0
113,0,72,82,0,18.04,11.0014,1
175,0,41,118,0,26.24,19.0012,1
55,0,47,52,0,8.2,39.0007,1
30,0,65,26,0,9.84,0,0
14,0,83,5,1,24.6,8.9981,1
47,0,93,46,0,10.66,8.9981,1
32,0,72,20,0,18.04,19.0012,1
49,0,43,49,0,5.74,26.0027,0
29,0,74,28,0,6.56,6.0032,1
38,0,83,27,0,26.24,12.998,0
152,0,32,151,0,8.2,26.0027,1
13,1,81,11,1,14.76,7.0015,0
20,0,59,19,0,5.74,27.9993,1
93,1,47,72,0,8.2,11.0014,0
34,0,69,26,0,8.2,0,1
2,0,50,2,0,5.74,23.9994,1
20,0,83,15,1,21.32,11.0014,1
54,0,60,38,1,23.78,0,1
96,0,31,64,0,13.94,26.0027,1
89,0,67,62,0,18.86,22.0028,0
110,0,35,89,0,9.84,12.998,1
17,0,94,16,0,18.04,16.9979,0
41,0,43,40,0,5.74,11.0014,1
4,1,86,3,0,6.56,19.0012,0
2,0,84,2,1,29.52,7.0015,1
180,0,36,141,1,20.5,12.998,1
404,0,62,270,1,29.52,8.9981,0
52,0,40,47,0,8.2,19.0012,1
196,0,15,94,0,18.86,43.9989,0
153,0,46,107,1,33.62,0,1
2,0,69,2,0,8.2,11.0014,0
26,0,42,26,0,12.3,7.0015,0
563,0,62,486,0,31.16,12.998,1
558,0,25,485,1,29.52,19.0012,1
92,0,46,87,0,14.76,12.998,1
188,0,67,161,1,18.86,19.0012,1
96,0,61,70,1,26.24,11.0014,0
7,0,80,7,0,5.74,8.9981,1
146,0,74,110,1,29.52,11.0014,1
123,0,52,85,0,33.62,11.0014,1
5,0,44,5,0,8.2,35.0008,1
488,0,79,418,0,28.7,0,1
184,0,44,164,1,18.86,19.0012,1
76,0,56,70,0,12.3,11.0014,1
8,0,59,7,0,6.56,0,0
211,0,75,200,0,8.2,26.0027,1
366,0,46,221,0,32.8,16.9979,0
498,0,53,445,1,23.78,8.9981,1
408,1,46,173,0,32.8,0,0
11,0,75,10,0,9.84,11.0014,0
2,0,66,1,1,15.58,16.9979,1
33,0,65,25,0,27.88,6.0032,0
6,0,69,3,1,27.88,11.0014,1
292,0,89,279,0,27.06,7.0015,1
303,0,49,183,0,32.8,22.0028,0
139,0,28,106,1,29.52,32.9975,1
101,0,65,76,0,11.48,7.0015,0
172,0,31,101,1,18.86,0,0
264,0,79,248,1,30.34,11.0014,1
5,0,44,5,0,9.02,23.9994,1
64,0,47,64,0,6.56,15.0013,1
19,0,47,18,0,8.2,0,1
286,0,62,155,1,29.52,8.9981,0
74,0,87,69,0,9.02,8.9981,1
50,0,54,46,0,15.58,6.0032,1
91,0,45,88,0,11.48,32.9975,1
122,0,31,96,0,18.86,26.0027,1
75,0,48,71,0,9.84,36.9974,1
5,0,94,3,1,19.68,0,1
78,0,56,65,0,12.3,11.0014,0
95,0,51,64,1,29.52,15.0013,1
99,0,23,70,0,14.76,0,1
3,0,70,0,1,11.48,6.0032,0
185,0,76,168,1,14.76,12.998,1
424,0,48,355,1,31.16,16.9979,1
232,0,31,196,1,20.5,19.9995,1
23,0,94,19,1,22.96,8.9981,1
255,0,28,244,0,18.86,19.0012,1
5,0,69,4,0,27.06,11.0014,1
216,0,94,159,1,22.14,8.9981,0
20,0,59,18,0,6.56,6.0032,0
579,0,33,516,1,31.98,19.0012,1
187,0,53,172,0,13.94,19.9995,1
178,0,83,141,1,25.42,8.9981,1
1,0,30,1,0,9.84,31.0009,1
129,0,36,108,0,13.12,12.998,0
5,0,49,5,1,22.14,15.0013,1
46,0,59,35,1,20.5,16.9979,1
21,0,76,18,1,15.58,8.9981,1
47,0,62,44,0,9.84,7.0015,1
27,0,0,26,0,13.94,6.0032,1
12,0,55,11,0,31.16,0,1
102,0,74,91,0,28.7,7.0015,1
84,0,26,67,0,12.3,16.9979,1
268,0,23,238,0,20.5,19.0012,1
16,0,89,14,0,27.06,12.998,1
5,0,58,5,0,30.34,16.9979,1
18,0,63,12,1,19.68,0,1
100,0,82,68,1,18.86,0,0
8,0,65,8,0,9.84,11.0014,0
1,0,69,1,0,8.2,8.9981,1
100,0,94,86,1,21.32,6.0032,0
73,0,71,63,1,14.76,19.0012,1
3,0,100,2,0,12.3,19.9995,1
342,0,38,223,1,24.6,12.998,0
596,0,59,517,0,31.98,15.0013,1
303,0,23,225,0,33.62,12.998,1
209,0,44,176,1,26.24,15.0013,1
326,0,37,262,1,28.7,27.9993,1
31,0,50,16,0,27.06,0,1
3,0,56,3,0,9.84,19.9995,0
131,0,74,107,1,27.06,7.0015,0
76,0,44,41,0,17.22,31.0009,0
28,0,81,25,1,13.94,26.0027,1
3,0,63,3,1,19.68,15.0013,1
4,0,57,1,0,13.12,12.998,1
436,0,35,240,1,24.6,19.0012,0
2,0,52,1,0,10.66,8.9981,1
524,0,38,458,1,25.42,19.9995,1
1,0,65,1,1,9.84,8.9981,1
418,1,46,196,0,32.8,8.9981,0
392,0,78,255,1,22.96,23.9994,0
28,0,55,26,0,6.56,0,1
5,0,88,3,1,23.78,0,1
217,0,31,125,0,18.86,22.0028,0
213,0,35,161,1,24.6,0,1
63,0,93,51,1,12.3,22.0028,1
185,0,74,145,1,29.52,16.9979,1
312,0,74,257,0,29.52,16.9979,1
114,0,70,104,0,10.66,12.998,1
140,1,83,77,0,26.24,8.9981,0
181,0,41,93,0,18.04,27.9993,0
205,0,63,122,0,18.86,19.9995,0
3,0,93,3,0,10.66,11.0014,1
75,0,36,51,0,15.58,22.0028,1
165,0,39,135,1,19.68,12.998,1
284,0,79,265,1,28.7,11.0014,1
14,0,88,9,1,25.42,7.0015,0
168,0,63,156,1,18.86,0,1
3,0,100,2,0,11.48,15.0013,1
225,0,61,183,1,26.24,30.0026,1
31,0,67,25,1,17.22,15.0013,0
440,0,50,415,1,17.22,16.9979,1
60,0,57,52,0,14.76,6.0032,1
196,0,82,136,1,19.68,16.9979,0
36,0,87,25,0,16.4,16.9979,0
190,0,38,186,0,9.84,12.998,1
61,0,44,59,0,8.2,16.9979,1
4,0,94,3,1,20.5,11.0014,1
45,0,39,44,0,5.74,23.9994,1
421,0,64,377,1,22.14,8.9981,1
317,0,58,193,1,30.34,7.0015,0
28,0,80,26,0,9.02,11.0014,1
380,0,49,232,1,33.62,7.0015,0
128,0,59,125,0,6.56,11.0014,1
1,0,75,1,0,9.84,6.0032,0
25,0,88,24,1,20.5,12.998,1
4,0,89,4,0,26.24,7.0015,1
5,0,75,4,1,9.84,11.0014,0
27,0,83,18,1,25.42,7.0015,0
89,0,48,74,0,9.84,15.0013,0
155,0,61,110,1,27.06,12.998,1
385,0,46,263,1,24.6,7.0015,0
456,0,73,261,1,25.42,19.0012,0
17,0,76,11,1,16.4,7.0015,0
7,0,55,7,0,7.38,11.0014,0
19,0,53,17,0,13.12,0,1
106,0,28,91,0,24.6,16.9979,1
45,0,93,43,0,10.66,8.9981,0
233,0,29,206,0,13.94,23.9994,1
29,0,33,29,0,4.92,23.9994,1
222,0,40,202,0,16.4,15.0013,1
420,0,32,270,1,28.7,11.0014,0
68,0,81,49,0,14.76,11.0014,1
12,0,93,11,1,9.84,15.0013,1
154,0,37,125,1,36.9,12.998,1
179,0,54,110,1,15.58,12.998,0
130,0,82,127,1,17.22,19.0012,1
107,0,59,105,0,8.2,22.0028,1
7,0,93,7,1,10.66,12.998,1
1,0,56,1,1,23.78,8.9981,1
20,0,86,20,0,6.56,6.0032,1
70,0,100,67,1,14.76,15.0013,1
14,0,100,11,1,21.32,7.0015,0
206,0,87,198,1,10.66,16.9979,1
111,0,93,101,0,12.3,12.998,1
2,0,63,2,0,5.74,6.0032,1
397,0,51,238,1,30.34,0,0
6,0,100,5,1,20.5,8.9981,1
21,0,93,21,1,13.94,26.0027,1
4,0,82,4,1,20.5,19.0012,1
53,0,51,47,0,7.38,19.0012,1
181,0,69,138,1,27.88,16.9979,1
79,0,82,68,1,20.5,19.9995,1
112,0,88,101,1,23.78,0,1
4,0,64,4,0,6.56,0,1
7,0,14,7,0,17.22,19.9995,0
165,0,39,121,1,35.26,0,1
29,0,33,25,0,11.48,30.0026,0
113,0,49,95,0,13.94,19.9995,1
52,0,59,46,0,8.2,6.0032,1
334,0,69,311,1,26.24,12.998,1
468,0,52,275,1,31.16,15.0013,0
31,0,39,28,1,27.06,15.0013,1
12,0,71,11,0,14.76,15.0013,1
226,0,88,211,1,19.68,26.0027,1
230,0,88,136,1,17.22,8.9981,0
85,0,88,74,1,21.32,0,1
28,0,54,28,0,4.92,8.9981,1
14,0,94,8,1,21.32,8.9981,1
86,0,53,60,0,24.6,15.0013,1
102,0,88,78,1,20.5,8.9981,0
32,0,65,28,1,10.66,8.9981,0
90,0,43,63,1,33.62,15.0013,1
101,0,33,98,0,10.66,7.0015,1
312,0,31,144,0,20.5,32.9975,0
180,0,73,137,1,22.14,12.998,1
33,0,57,20,1,13.12,15.0013,0
139,0,47,139,0,8.2,23.9994,1
502,0,43,471,1,22.96,22.0028,1
105,0,64,98,1,22.14,27.9993,1
85,0,19,74,0,13.94,11.0014,1
4,0,87,3,1,15.58,19.0012,0
95,0,67,66,1,17.22,7.0015,1
328,0,83,275,1,26.24,16.9979,1
37,0,0,36,0,15.58,15.0013,1
105,0,37,82,0,9.02,16.9979,0
34,0,78,27,1,26.24,7.0015,0
3,0,62,3,0,14.76,8.9981,0
208,0,59,167,0,31.98,19.9995,1
68,0,38,53,1,25.42,19.0012,1
4,0,46,4,0,4.1,27.9993,0
8,0,94,2,1,18.04,0,1
39,0,43,39,0,6.56,23.9994,1
113,0,46,80,0,33.62,12.998,1
5,0,93,2,1,14.76,7.0015,0
6,0,86,6,0,6.56,7.0015,1
235,0,27,214,0,13.94,12.998,1
172,0,46,97,0,31.98,7.0015,1
314,0,79,283,1,29.52,8.9981,1
34,0,87,31,0,16.4,12.998,0
157,0,94,115,1,22.14,8.9981,0
506,0,35,426,1,37.72,15.0013,1
63,1,83,30,0,26.24,0,0
28,0,89,20,1,26.24,19.0012,0
6,0,57,5,0,25.42,0,1
57,0,55,57,0,6.56,22.0028,1
99,0,38,77,0,9.84,15.0013,0
66,0,89,57,1,26.24,16.9979,0
46,0,62,37,0,31.16,0,1
